kind,name,graham_acyclic,n_families_tested,n_globally_feasible,obstruction_fraction,witness_json
discrete_gluing,K4_all_pairs,False,90,50,0.4444444444444444,"{""0011"": {""1,1"": 0.314813, ""1,0"": 0.358577, ""0,1"": 0.284625, ""0,0"": 0.041986}, ""0101"": {""1,1"": 0.258984, ""1,0"": 0.0429, ""0,1"": 0.340454, ""0,0"": 0.357662}, ""0110"": {""1,1"": 0.098986, ""1,0"": 0.202898, ""0,1"": 0.574404, ""0,0"": 0.123713}, ""1001"": {""1,1"": 0.284442, ""1,0"": 0.173453, ""0,1"": 0.314996, ""0,0"": 0.22711}, ""1010"": {""1,1"": 0.388124, ""1,0"": 0.06977, ""0,1"": 0.285265, ""0,0"": 0.25684}, ""1100"": {""1,1"": 0.231454, ""1,0"": 0.22644, ""0,1"": 0.07043, ""0,0"": 0.471676}}"
discrete_gluing,cycle4_pairs,False,90,90,0.0,
discrete_gluing,star3_pairs_acyclic,True,90,90,0.0,
discrete_gluing,triangle_K3,False,90,64,0.28888888888888886,"{""011"": {""1,1"": 0.446022, ""1,0"": 0.255189, ""0,1"": 0.101781, ""0,0"": 0.197007}, ""101"": {""1,1"": 0.376376, ""1,0"": 0.386268, ""0,1"": 0.171428, ""0,0"": 0.065928}, ""110"": {""1,1"": 0.668607, ""1,0"": 0.094037, ""0,1"": 0.032605, ""0,0"": 0.204752}}"
discrete_gluing_independence_constrained,triangle_K3,False,60,60,0.0,
gaussian_cov_completion,cycle4_random_assignments,False,300,288,0.04,"{""k"": 4, ""assigned"": {""0-1"": -0.43381140713114574, ""1-2"": 0.8079840773411244, ""2-3"": -0.8612149591281892, ""0-3"": -0.8834655769668192}, ""optimal_min_eigenvalue"": -0.07949313221295433, ""completable"": false, ""certificate_matrix"": [[1.0, -0.43381140713114574, 0.33081820403651224, -0.8834655769668192], [-0.43381140713114574, 1.0, 0.8079840773411244, -0.21298935389431195], [0.33081820403651224, 0.8079840773411244, 1.0, -0.8612149591281892], [-0.8834655769668192, -0.21298935389431195, -0.8612149591281892, 1.0]]}"
gaussian_canonical,cycle4_const_0.9,False,1,1,0.0,"{""assigned"": {""0-1"": 0.9, ""1-2"": 0.9, ""2-3"": 0.9, ""0-3"": 0.9}, ""min_eig"": 0.09999983342465418}"
gaussian_canonical,cycle4_const_0.5,False,1,1,0.0,"{""assigned"": {""0-1"": 0.5, ""1-2"": 0.5, ""2-3"": 0.5, ""0-3"": 0.5}, ""min_eig"": 0.4999999978284458}"
gaussian_canonical,cycle4_alternating_0.9,False,1,1,0.0,"{""assigned"": {""0-1"": 0.9, ""1-2"": -0.9, ""2-3"": 0.9, ""0-3"": -0.9}, ""min_eig"": 0.09927696233885532}"
gaussian_canonical,cycle4_mixed_witness,False,1,0,1.0,"{""assigned"": {""0-1"": 0.95, ""1-2"": 0.95, ""2-3"": -0.95, ""0-3"": 0.0}, ""min_eig"": -0.09696551227811177}"
gaussian_canonical,triangle_control_O2,False,1,1,0.0,"{""assigned"": {""0-1"": 0.0, ""0-2"": 0.5, ""1-2"": 0.5}, ""min_eig"": 0.2928932188134525}"
gaussian_canonical,triangle_obstruction_O1,False,1,0,1.0,"{""assigned"": {""0-1"": 0.0, ""0-2"": 0.9, ""1-2"": 0.9}, ""min_eig"": -0.2727922061357856}"
